epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
55,1181.78,0.63212,0.48526,1.01633,0.97692,0.9679,0.98168,0.89461,0.44459,0.34481,0.90529,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,1202.42,0.6322,0.4839,1.01766,0.9626,0.96823,0.97499,0.8573,0.64172,0.45067,1.09226,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,1223.11,0.62574,0.46707,1.01082,0.97349,0.97972,0.97917,0.90107,0.43442,0.30517,0.88792,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,1243.85,0.6345,0.4778,1.0089,0.9675,0.97205,0.97469,0.89222,0.45311,0.36506,0.92797,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,1264.68,0.63091,0.48105,1.00763,0.96872,0.98379,0.97757,0.90081,0.43035,0.30893,0.89697,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,1286.22,0.62365,0.47943,1.01282,0.96604,0.98475,0.97685,0.89195,0.43984,0.3276,0.90775,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,1308.77,0.62151,0.46746,1.00848,0.97699,0.9784,0.97906,0.90483,0.43659,0.31888,0.89464,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,1331.41,0.62021,0.4665,1.00393,0.96636,0.98567,0.98083,0.90819,0.42121,0.29747,0.89514,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,1352.24,0.61878,0.46195,1.00323,0.96975,0.97757,0.98058,0.90572,0.43116,0.30481,0.90817,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,1372.95,0.61475,0.4621,1.00436,0.97845,0.98077,0.9783,0.90852,0.42103,0.30708,0.89561,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
